gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 2579620343673729408","K2-151","K2-151 b",19.3047733,9.5012663
"Gaia DR2 2115245554756763392","WASP-58","WASP-58 b",274.7012534,45.1722194
,"OGLE-2018-BLG-1126L","OGLE-2018-BLG-1126L b",268.3558750,-31.7247194
"Gaia DR2 2102948483573807616","Kepler-392","Kepler-392 b",288.6608260,43.3681938
"Gaia DR2 2075063150722101376","Kepler-1347","Kepler-1347 b",299.6595903,40.8438526
"Gaia DR2 2940856402123426176","GJ 229","GJ 229 A c",92.6435993,-21.8677233
"Gaia DR2 2081880913079644288","Kepler-1915","Kepler-1915 b",301.2786852,44.2505116
"Gaia DR2 2078310008545447808","Kepler-751","Kepler-751 b",294.8438103,44.0776872
"Gaia DR2 2077119748545602304","Kepler-640","Kepler-640 b",296.0322000,42.1317392
"Gaia DR2 1891507552824189568","HAT-P-8","HAT-P-8 b",343.0414932,35.4471778
"Gaia DR2 2073671753111037440","Kepler-1238","Kepler-1238 b",297.9057655,40.1628378
"Gaia DR2 2128167225867000576","KOI-2513","KOI-2513.01",293.6688776,46.3792321
"Gaia DR2 2133309160710350336","Kepler-1047","Kepler-1047 b",288.6462564,50.7889645
"Gaia DR2 2052857860550101376","Kepler-135","Kepler-135 c",290.4950939,38.7954956
"Gaia DR2 2128168256659148032","Kepler-1695","Kepler-1695 b",293.6193001,46.4134015
"Gaia DR2 2134931077802625792","Kepler-1894","Kepler-1894 b",295.5864604,49.6668523
"Gaia DR2 2126985280924750720","Kepler-722","Kepler-722 b",290.2632874,44.5564051
"Gaia DR2 4994237247949280000","WASP-190","WASP-190 b",7.7095292,-40.5734613
"Gaia DR2 4081376064109034496","K2-381","K2-381 c",288.0267612,-21.0075789
"Gaia DR2 709709093301608448","TIC 172900988 Aa","TIC 172900988 b",128.6616644,31.5539793
"Gaia DR2 2101510008826160256","Kepler-400","Kepler-400 b",290.9444679,40.4800528
"Gaia DR2 2129162283888866688","Kepler-527","Kepler-527 b",290.9579130,47.4062673
"Gaia DR2 2101776885215761152","Kepler-265","Kepler-265 e",290.5104788,41.2447430
"Gaia DR2 2102110174677569664","Kepler-131","Kepler-131 c",288.5308924,40.9423730
"Gaia DR2 2086844692677679872","Kepler-1941","Kepler-1941 b",296.6270184,49.3538910
"Gaia DR2 2106137960646125312","Kepler-189","Kepler-189 b",287.5646296,44.3050662
"Gaia DR2 961428192989499904","HD 40979","HD 40979 b",91.1253346,44.2597855
"Gaia DR2 2076955822541823744","Kepler-171","Kepler-171 b",296.7719082,41.7555958
"Gaia DR2 1677343097418015488","TOI-1136","TOI-1136 e",192.1848981,64.8552755
"Gaia DR2 2131494313689868416","Kepler-129","Kepler-129 c",285.3111845,47.8484775
"Gaia DR2 2127382793038824832","Kepler-1392","Kepler-1392 b",288.7669819,46.3944497
"Gaia DR2 2079548917633369472","Kepler-1182","Kepler-1182 b",296.3079895,43.8213706
"Gaia DR2 2136210874976312192","Kepler-620","Kepler-620 b",291.1593939,51.3348228
"Gaia DR2 2051898055621339648","Kepler-1922","Kepler-1922 b",292.3303706,37.9970696
"Gaia DR2 2359978293136820864","WASP-20","WASP-20 b",5.1605621,-23.9357894
"Gaia DR2 655794055300531456","K2-108","K2-108 b",123.3818484,16.4195160
"Gaia DR2 664337230586013312","K2-100","K2-100 b",129.6010863,20.1060074
"Gaia DR2 2080353416547448320","Kepler-654","Kepler-654 b",297.0683931,46.8342497
"Gaia DR2 2106132875405444352","Kepler-800","Kepler-800 b",286.5747697,44.7951858
"Gaia DR2 2073195870740245504","Kepler-817","Kepler-817 b",296.0818498,39.1616140
"Gaia DR2 2608811445383136768","K2-70","K2-70 b",338.4759328,-10.0849917
"Gaia DR2 2077738571736987008","Kepler-944","Kepler-944 b",293.6012911,42.3797910
"Gaia DR2 4575374857376398976","HD 156668","HD 156668 b",259.4183491,29.2281610
"Gaia DR2 2119809116425132160","Kepler-589","Kepler-589 b",280.6414331,47.7520581
"Gaia DR2 2079563829758338432","Kepler-500","Kepler-500 b",295.9513472,43.8519884
"Gaia DR2 2129861435845006208","Kepler-842","Kepler-842 b",292.3285976,49.6535171
